Category,Symptom
IT Support / Desktop Support / Laptop / System Performance,"Hi Team,My system working very slow in terms of performance and its not detecting mic, camera while teams call is going on."
IT Support / Desktop Support / Laptop / Laptop Battery Drain,New Service Request raised for - IT Support\Desktop\Amenities\IT Amenities -
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop shutdown
IT Support / Desktop Support / Software Issue,Cannot install 'spacy' library for NLP udemy course. The error says : The current user does not have write permissions to the target environment.
IT Support / Desktop Support / Software Issue,Set up python in Visual Studio Code
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Install oracle sql developer and GlobalProtect
IT Support / Desktop Support / Software Issue,Need to install VMware
IT Support / Desktop Support / Software Issue,Need to configure forti token
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to Forticlient VPN
IT Support / Desktop Support / Internet / VPN not connecting,Facing issue while connecting to FortiClient
IT Support / Desktop Support / Internet / VPN not connecting,SSL VPN server down
IT Support / Desktop Support / Laptop / System Performance,"Hi Team,I am raising this request on behalf of Biswajit Singh. His laptop (specifically monitor) is not working from today evening as screen is freezing and opening multiple windows automatically. He is totally blocked.Could you please help him?"
IT Support / Desktop Support / Internet / VPN not connecting,2 Requests
IT Support / Desktop Support / Internet / VPN not connecting,VPN is not working
IT Support / Desktop Support / Laptop / Laptop Battery Drain,Laptops disconnect from Wi-Fi abruptly every few seconds.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Vs Code is not working. is crashed
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Account locked due to incorrect password.
IT Support / Desktop Support / Software Issue,Unable to launch WSL - need an update with Ubuntu installation.
IT Support / Desktop Support / Internet / VPN not connecting,VPN down
IT Support / Desktop Support / Laptop / Speaker and Audio,Laptop Audio not working
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Account disabled due to not connecting to vpn
IT Support / Desktop Support / Software Issue,I need to install Microsoft C++ Build Tools
IT Support / Desktop Support / Software Issue,unable to open apps like ‘sticky notes’ and ‘clock’.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,scalar not able to authenticate.
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to WIFI/My Laptop is unable to connect the Wireless network through bluetooth devices
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN Issue
IT Support / Desktop Support / Internet / VPN not connecting,Need helping logging into FortiClient VPN
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect with vpn
IT Support / Desktop Support / Software Issue,Configuration of back up laptop
IT Support / Desktop Support / Software Issue,Not able to record meeting in team
IT Support / Desktop Support / Software Issue,Speaker volume is no clear
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Cant login into my Microsoft account
IT Support / Desktop Support / Laptop / Power-On Issue,System hang after drivers installed
IT Support / Desktop Support / Software Issue,Date and Time not correct
IT Support / Desktop Support / User Profile / Password Expired,Password reset
IT Support / Desktop Support / Software Issue,Need to install OneNote.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,"Not able to login to VPN, Password is to be reset and I dnt have mobile passcode setup"
IT Support / Desktop Support / Software Issue,Unable to authenticate
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / User Profile / Account Lockout,"User account is locked, User unable to use teams nor outlook."
IT Support / Desktop Support / Software Issue,WSL app crashing again and again.
IT Support / Desktop Support / Mouse / Mouse Issue,"The scroll of the mouse is not working. Because of this sometimes, a webpage randomly starts scrolling."
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,Install Neo4j Desktop
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse replacement
IT Support / Desktop Support / Internet / VPN not connecting,VPN connection is not working
IT Support / Desktop Support / User Profile / Password Expired,Password expired need to reset
IT Support / Desktop Support / Software Issue,Popup for Windows Update standalone Installer
IT Support / Desktop Support / Software Issue,Reg: Request to install the Unapproved Application like Redis
IT Support / Desktop Support / Software Issue,Request for help - Fix data & time in my laptop
IT Support / Desktop Support / Software Issue,New joiner details | DOJ - 12/03/2024
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Cannot get Teams on Laptop
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Grant / Confirm FTP Access - Kenny Knitch - Air Management Supply
IT Support / Desktop Support / Software Issue,Not able to open citrix workspace
IT Support / Desktop Support / Software Issue,Need to install Authenticator in my New mobile
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Microsoft Teams for Business is not working/Not able to connect to Microsoft Teams for Business
IT Support / Desktop Support / User Profile / Password Expired,"Password Expired, unable to connect to Wifi"
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not workingU
IT Support / Desktop Support / Laptop / System Performance,Laptop not working
IT Support / Desktop Support / Software Issue,Windows update standalone installer pop up.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,VS code not working
IT Support / Desktop Support / Internet / VPN not connecting,not able to connect VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Barcode for FortiToken app
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Software Issue,Forticlient Activation
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to FortiClient VPN
IT Support / Desktop Support / Software Issue,Continuously Getting Software Installation Pop-up
IT Support / Desktop Support / O365 Issue / Outlook Issue,"Hi Team, MY outlook is fully hanging, unable to open outlook and read emails"
IT Support / Desktop Support / Software Issue,New joiner details | DOJ - 13/03/2024
IT Support / Desktop Support / Internet / VPN not connecting,Need to reactivate fortitoken .
IT Support / Desktop Support / User Profile / Account Lockout,Need support to unlock team mate tredence account
IT Support / Desktop Support / User Profile / Account Lockout,Naveen's tredence ID not working
IT Support / Desktop Support / Software Issue,FTP Access Request - Griff Ennis - Remsco
IT Support / Desktop Support / Internet / VPN not connecting,VPN is not working
IT Support / Desktop Support / User Profile / Account Lockout,Account disabled
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,User's account has been locked
IT Support / Desktop Support / Laptop / System Performance,system slow
IT Support / Desktop Support / User Profile / Account Lockout,Support Request to recover Tredence account access for Neha
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Forti Token Issue in Mobile
IT Support / Desktop Support / Internet / VPN not connecting,VPN and Laptop Warranty expiring.
IT Support / Desktop Support / Software Issue,Install Putty
IT Support / Desktop Support / Internet / VPN not connecting,VPN Support
IT Support / Desktop Support / Software Issue,Error while connecting VPN
IT Support / Desktop Support / Software Issue,Need to install tools : Choco & Terraform on my system.
IT Support / Desktop Support / Software Issue,Need to install following tool on system
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Password Expired,VPN is not connecting Need to change password
IT Support / Desktop Support / Software Issue,Note pad file not opening Need to check
IT Support / Desktop Support / Software Issue,Install extensions and update VS Code applications
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,There is no keyboard back light and the speakers and very low.
IT Support / Desktop Support / Software Issue,Install Visual Studio Code and Reinstall Neo4j Desktop
IT Support / Desktop Support / Laptop / Bluescreen,Facing bluescreen error
IT Support / Desktop Support / Software Issue,Install Power BI on the laptop
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Requesting for old laptop config
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,FortiClient VPN not getting connected.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Forticlient VPN disconnects very frequestly or sometimes does not connect when trying to connect to Azure virtual machine using Remote desktop connection
IT Support / Desktop Support / Software Issue,unable to use self service portal
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect with office wifi
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Unable to connect to VDI through VMWare horizon client
IT Support / Desktop Support / Software Issue,Need to install latest version of the node
IT Support / Desktop Support / Laptop / Speaker and Audio,Laptop Speakers not working properly
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Not able to connect with office wifi
IT Support / Desktop Support / Laptop / System Performance,Laptop performance issue
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Teams update to add account.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Notepad ++ Installation
IT Support / Desktop Support / Software Issue,Need to download and install azure storage explorer
IT Support / Desktop Support / Laptop / Laptop Battery Drain,"abhay.motwani@tredence.com His laptop is not turning on, it suddenly got shut down and it’s not turning on, trying since last 2 hours. Charged it also and tried but still not turning on."
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,Reminder to Accept Asset
IT Support / Desktop Support / Software Issue,Not able to install extension in Visual studio code application.
IT Support / Desktop Support / Software Issue,New joiner details week of 3/11/2024
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,forti client is not connecting and frequently disconnects even after connecting.
IT Support / Desktop Support / Software Issue,Unable to navigate or launch itservice desk . tredence - on Chrome
IT Support / Desktop Support / Internet / VPN not connecting,VPN disconnect frequently and need to connect every 2 minutes.
IT Support / Desktop Support / Software Issue,citrix not working properly
IT Support / Desktop Support / Internet / VPN not connecting,not able to connect to vpn
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Not able to access Parablu
IT Support / Desktop Support / Laptop / System Performance,System performance issue
IT Support / Desktop Support / Software Issue,Create FTP Portal / Add FTP Access - Shanon Avery - Savance
IT Support / Desktop Support / Software Issue,Add FTP Access - Tony Faulkner - Wiseway Supply
IT Support / Desktop Support / Software Issue,Request To Install TableauPublicDesktop
IT Support / Desktop Support / Internet / VPN not connecting,VPN down
IT Support / Desktop Support / Software Issue,MySQL workbench is not working
IT Support / Desktop Support / User Profile / Password Expired,Password expired unable to switch on my laptop
IT Support / Desktop Support / Laptop / System Boot-up,Not able to turn on laptop
IT Support / Desktop Support / Software Issue,Facing issue with laptop
IT Support / Desktop Support / Software Issue,not able to access success factor it requires company ID.
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,New Service Request raised for - IT Support\Desktop\Amenities\IT Amenities -
IT Support / Desktop Support / Laptop / System Boot-up,Laptop stuck in boot menu
IT Support / Desktop Support / User Profile / Account Lockout,Urgent solution needed - account locked
IT Support / Desktop Support / Software Issue,Internet speed issue on laptop
IT Support / Desktop Support / Software Issue,i lost my previous mobile . please help me to install microsoft authenticator and forticlient token in my new mobile
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop not working
IT Support / Desktop Support / Software Issue,Headset mic is not working
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN. tried multiple times after restarting as well.
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Not able to login in VPN
IT Support / Desktop Support / Software Issue,IT service desk application is not working
IT Support / Desktop Support / Internet / VPN not connecting,VPN server is down
IT Support / Desktop Support / Internet / VPN not connecting,Regarding VPN connectivity
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN Connection Issue
IT Support / Desktop Support / Internet / VPN not connecting,Forticlient VPN is not working
IT Support / Desktop Support / Software Issue,Unable to access the installed software's
IT Support / Desktop Support / User Profile / Password Expired,Need to change password but not able to connect to Forticlient
IT Support / Desktop Support / Internet / VPN not connecting,VPN is Disconnecting Frequently
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect with Forti client VPN
IT Support / Desktop Support / Software Issue,GREYTHR in Success factor is Down
IT Support / Desktop Support / Software Issue,Draw.io Download
IT Support / Desktop Support / Software Issue,Unable to share screen in Teams and Zoom
IT Support / Desktop Support / Software Issue,"Unable to connect to SQl workbench, password incorrect"
IT Support / Desktop Support / Laptop / Speaker and Audio,Laptop Audio not working
IT Support / Desktop Support / Internet / VPN not connecting,Forticlient and Self service portal Configuration
IT Support / Desktop Support / Laptop / Power-On Issue,Laptop not turning on
IT Support / Desktop Support / Software Issue,One Note- Installation
IT Support / Desktop Support / Laptop / System Boot-up,Laptop issue and request for replacement laptop
IT Support / Desktop Support / User Profile / Account Lockout,Urgent Help required for Locked in Laptop
IT Support / Desktop Support / Software Issue,Forti token configuration in new mobile
IT Support / Desktop Support / User Profile / Password Expired,Password not Working/Expired
IT Support / Desktop Support / Software Issue,"Install streamlit, python-dotenv, neo4j, pyvis in VS code"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Laptop / System Performance,Weird behaviour. Iam unable toclick and the tabs are getting auto closed
IT Support / Desktop Support / Software Issue,software installation
IT Support / Desktop Support / Internet / VPN not connecting,Unable to login to VPN and chnage password
IT Support / Desktop Support / Internet / VPN not connecting,Unable to change password
IT Support / Desktop Support / Software Issue,Need VMWare software installation.
IT Support / Desktop Support / Software Issue,Need to install MySQL Workbench 8.0 CE for the Athena SQL Training
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Install MySQL Workbench 8.0 CE for the Athena SQL Training.
IT Support / Desktop Support / User Profile / Account Lockout,New joiner details | DOJ - 19/03/2024
IT Support / Desktop Support / User Profile / Account Lockout,Account locked
IT Support / Desktop Support / User Profile / Account Lockout,"HI Team, Raising an issue on behalf of my teammate - Anvi is locked out of an account today and needs assistance to fix the issue."
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / User Profile / Account Lockout,Frequent Account Lockout Issues
IT Support / Desktop Support / User Profile / Password Expired,My tredence account got locked. I need a password change as well as my VPN is not working.
IT Support / Desktop Support / User Profile / Account Lockout,Bharath Basavarajappa - Account Locked
IT Support / Desktop Support / User Profile / Password Expired,Please help to restore Frank's outlook and Teams access
IT Support / Desktop Support / Internet / VPN not connecting,Forticlient is not working need help ASAP
IT Support / Desktop Support / Internet / Unable to connect to Wi-Fi,Unable to connect to Tredence Wifi in Foster city Office
IT Support / Desktop Support / Software Issue,Installing MySQL Workbench 8.0 CE
IT Support / Desktop Support / User Profile / Account Lockout,Account lock out
IT Support / Desktop Support / User Profile / Account Lockout,Goutham is Unable to login to Laptop as it was locked
IT Support / Desktop Support / User Profile / Account Lockout,Account locked for Naveen Patil
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Vs code update
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse is not working properly.
IT Support / Desktop Support / O365 Issue / MS Teams Issue,Outlook and Teams account getting Locked || Help required in resetting the password.
IT Support / Desktop Support / User Profile / Account Lockout,Locked out of Tredence account
IT Support / Desktop Support / Internet / VPN not connecting,"I joined the PepsiCo project recently and need to connect to their VPN. I need to download the Cisco AnyConnect VPN app, but I am unable to get it. Also, I am unable to access their few URL."
IT Support / Desktop Support / Software Issue,Not able to Connect to VPN
IT Support / Desktop Support / User Profile / Account Lockout,Not able to access teams and outlook
IT Support / Desktop Support / Software Issue,Install MySQL Workbench 8.0 CE
IT Support / Desktop Support / Software Issue,"""Unable to download SSMS & Azure Storage Explorer from self-service portal."""
IT Support / Desktop Support / Software Issue,Unable to download Azure Storage Explorer from self service portal.
IT Support / Desktop Support / Software Issue,Need to install 'MySQL Workbench 8.0 CE'
IT Support / Desktop Support / Software Issue,MySQL Workbench 8.0 CE for the Athena SQL Training.
IT Support / Desktop Support / Laptop / System Boot-up,"Error code: 0xc0000001After multiple tries, the operating system on the PC failed to start."
IT Support / Desktop Support / Software Issue,Installation of MySQL Workbench 8.0 CE for the Athena SQL Training
IT Support / Desktop Support / Software Issue,installing MySQL Workbench 8.0 CE for the Athena SQL Training.
IT Support / Desktop Support / Software Issue,installation of MySQL Workbench 8.0 CE for the Athena SQL Training.
IT Support / Desktop Support / Software Issue,Installing MySQL Workbench 8.0 CE
IT Support / Desktop Support / Internet / VPN not connecting,Not able to connect to FortiClient.Also not able to change system password.
IT Support / Desktop Support / Software Issue,Need help with synchronizing Time
IT Support / Desktop Support / User Profile / Account Lockout,New asset is allocated need to login with my account .
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Internet / VPN not connecting,Can't connect to FortiClient VPN
IT Support / Desktop Support / Software Issue,Not able to install extension in visual studio code
IT Support / Desktop Support / Internet / VPN not connecting,Cannot connect to FortiClient VPN
IT Support / Desktop Support / Internet / VPN not connecting,Issues logging into VPN
IT Support / Desktop Support / Internet / VPN not connecting,VPN Not connecting
IT Support / Desktop Support / Software Issue,I'm getting permission error to set up client email id and teams
IT Support / Desktop Support / Software Issue,"Hi, need help to set up mysql workbench"
IT Support / Desktop Support / Software Issue,install MySQL Workbench 8.0 CE
IT Support / Desktop Support / Internet / VPN not connecting,FortiClient Token
IT Support / Desktop Support / Software Issue,"Hi Team I am not able to access one drive and other resources ,upon accessing these I am getting error as shown in screenshot"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not working
IT Support / Desktop Support / Internet / VPN not connecting,"hi Team , Lokesh V is unable to connect to Forticlient that is hampering his work , kindly help"
IT Support / Desktop Support / Mouse / Mouse Issue,Mouse not working
IT Support / Desktop Support / Laptop / System Performance,Issue with a laptop
IT Support / Desktop Support / Laptop / System Performance,Laptop freezing problem
IT Support / Desktop Support / Software Issue,Regarding MySQL Workbench 8.0 CE software.
IT Support / Desktop Support / Internet / VPN not connecting,Unable to connect to VPN
IT Support / Desktop Support / Software Issue,"Hi, I need help to set up mysql 8.0 CE"
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
IT Support / Desktop Support / Software Issue,Installing MySQL Workbench 8.0 CE
IT Support / Desktop Support / Software Issue,Python Installation and Enviorment Settings
IT Support / Desktop Support / Internet / VPN not connecting,VPN token needed
IT Support / Desktop Support / Software Issue,My SQL Workbench
IT Support / Desktop Support / Internet / VPN not connecting,VPN not connecting
